"kfoldgrpp"
"1",1
"2",3
"3",4
"4",3
"5",4
"6",1
"7",1
"8",3
"9",3
"10",1
"11",1
"12",4
"13",3
"14",1
"15",3
"16",1
"17",2
"18",4
"19",1
"20",4
"21",2
"22",3
"23",4
"24",2
"25",1
"26",3
"27",4
"28",2
"29",3
"30",4
"31",1
"32",2
"33",2
"34",1
"35",4
"36",4
"37",2
"38",1
"39",1
"40",4
"41",1
"42",3
"43",2
"44",2
"45",1
"46",1
"47",1
"48",2
"49",3
"50",1
"51",2
"52",3
"53",4
"54",3
"55",2
"56",1
"57",4
"58",2
"59",3
"60",3
"61",2
"62",2
"63",3
"64",4
"65",3
"66",1
"67",1
"68",4
"69",3
"70",2
"71",3
"72",2
"73",3
"74",2
"75",4
"76",3
"77",1
"78",1
"79",3
"80",3
"81",3
"82",3
"83",1
"84",4
"85",2
"86",1
"87",1
"88",1
"89",1
"90",3
"91",2
"92",3
"93",2
"94",4
"95",2
"96",1
"97",4
"98",1
"99",2
"100",4
"101",4
"102",3
"103",2
"104",3
"105",3
"106",4
"107",3
"108",3
"109",3
"110",1
"111",3
"112",3
"113",2
"114",1
"115",3
"116",1
"117",3
"118",1
"119",1
"120",3
"121",4
"122",1
"123",2
"124",1
"125",1
"126",1
"127",1
"128",1
"129",2
"130",3
"131",1
"132",3
"133",1
"134",2
"135",1
"136",3
"137",3
"138",1
"139",1
"140",1
"141",2
"142",3
"143",3
"144",4
"145",1
"146",2
"147",4
"148",2
"149",4
"150",3
"151",2
"152",3
"153",2
"154",1
"155",4
"156",2
"157",4
"158",1
"159",3
"160",3
"161",3
"162",3
"163",3
"164",3
"165",2
"166",1
"167",2
"168",2
"169",1
"170",2
"171",2
"172",1
"173",3
"174",1
"175",4
"176",2
"177",3
"178",2
"179",1
"180",3
"181",4
"182",2
"183",3
"184",1
"185",1
"186",4
"187",1
"188",3
"189",3
"190",3
"191",3
"192",1
"193",1
"194",4
"195",1
"196",3
"197",1
"198",3
"199",3
"200",4
"201",1
"202",3
"203",1
"204",1
"205",3
"206",1
"207",4
"208",3
"209",3
"210",4
"211",3
"212",1
"213",4
"214",3
"215",1
"216",3
"217",1
"218",3
"219",4
"220",4
"221",4
"222",4
"223",3
"224",2
"225",1
"226",2
"227",1
"228",1
